User,Content,Date
@thanosmiss235,"Elon has been a jerk to twitter Engineers and maybe to other companies employees (that's a fact). IMO, it is clear that he can't handle valid criticism and should say out of politics! With all that said, SpaceX will be his greatest accomplishments and Twitter maybe worst failure.","Apr 22, 2023 · 10:09 PM UTC"
@AaronBBrown,"Imagine trying to land that monstrosity on another planet, that’s a recipe for getting people killed, Elon is nothing but a hustler running his game on the suckers.","Apr 22, 2023 · 10:01 PM UTC"
@jchybow,"Uh huh. But nobody was talking about Elon until you brought him up. We were talking about SpaceX. 

You do realize that Elon /= SpaceX and vice Verga right? 

It’s always the closet Musk lovers who pretend to hate on him & who constantly bring him up in conversations.","Apr 22, 2023 · 9:33 PM UTC"
@Ds19692,Elon is just unique!!!!!!!!,"Apr 22, 2023 · 9:26 PM UTC"
@thanosmiss235,"Again, perhaps your right Elon should have listen to experts on building the pad? ( I don’t know). But Tell me why the pad can’t rebuild? Tell me why Spacex can’t take this as a learning experience for their test flight?","Apr 22, 2023 · 9:23 PM UTC"
@aced00,"I have my SpaceX ID badge right now and I'll tell you that test was a failure. Booster not releasing? Not on purpose. 🤣 Heads will roll, but probably Elon's fault. Things always get fucked when he's around. He needs to go back to fucking up twitter and leave SpaceX to others. 🤣","Apr 22, 2023 · 8:25 PM UTC"
@Nastypouch,"He doesn't think he knows better than SpaceX. In fact, one of the points he makes is that Elon overruled SpaceX (who wanted to do the thing right) to do his own stupid bullshit.

Pay attention.","Apr 22, 2023 · 8:20 PM UTC"
@RobGWright,"Ever the showman, Elon Musk hired professional shills to make it all seem hunky-dory, but the reality is this is a major setback for SpaceX. There is a long way to go before anyone should ride in that rocket. When they eventually do, they will be shitting themselves.","Apr 22, 2023 · 8:12 PM UTC"
@LukeEllis7,"It's literally 5 months since Elon last said SpaceX was fucked.

Keep coping tho buddy.","Apr 22, 2023 · 8:05 PM UTC"
@MaliyahAngel,"What is a car note? I don't have a car or an iPhone or any of that stuff. It's a matter of prioritizing. I mean I support Elon's work in SpaceX, Tesla and Twitter and so on but now he's just kissing ass. Kinda disappointing. 😔","Apr 22, 2023 · 7:43 PM UTC"
@SERobinsonJr,Starlink will be our best shot at a SpaceX IPO. Elon would never let SpaceX go public. Just watch how Tesla is used by shorts and large investment groups. It's a shitshow.,"Apr 22, 2023 · 7:09 PM UTC"
@SeanChTw,"Boring Elon-hater posted lame meme, communicating to the world that she does not understand how things work or what's happening around her. Truly pathetic.","Apr 22, 2023 · 6:54 PM UTC"
@minirop,"There is one issue in their analysis. If SpaceX still exists today is because NASA is showering it will tax money, but since it's SpaceX branded, people will suck Elon's PP.","Apr 22, 2023 · 6:46 PM UTC"
@bitofthefarm,"the Benny Hill theme song:""yakety Sax"" You couldn't have picked better music for that video if Elon himself gave you all his money!","Apr 22, 2023 · 5:26 PM UTC"
@jbheller1,Phenomenal pod this week and great Uranus joke @DavidSacks. Elon Musk is undisputed the most innovative and motivated CEO in my lifetime. always take risks it’s worth the reward,"Apr 22, 2023 · 5:23 PM UTC"
@master_zygarde,Listen I think Elon Musk has helped progress mankind with tesla and spaceX and whatever but what the fuck is this 😭,"Apr 22, 2023 · 5:15 PM UTC"
@khokanDATTA,"Right now, the creators don't. Apple first built a ecosystem which was so strong that it forces customers to pay 1000$. Elon - like the way he is - completely believes that Twitter is at that level today. TBH Twitter is no different to Tesla / SpaceX in sense it's unique.","Apr 22, 2023 · 4:52 PM UTC"
@p02p20,yea i understand ur point it sucks that spacex will forever be associated w elon musk and that they’ll get shit for doing legitimately cool and revolutionary stuff. It is elons fault for saying stupid shit and tarnishing his reputation tho. unfortunate,"Apr 22, 2023 · 4:33 PM UTC"
@keshavsapkota66,"@elonmusk @teslaownersSV @Tesla @SpaceX @Twitter @TitterDaily @TwitterBlue @Twitter @BillyM2k 
Steve Jobs invented the cell phone 📱

Elon Musk invented the electric car 🚗

Bill Gates invented the computer 💻

Ben Franklin invented electricity 💡

What will I invent? ❓
#govegan","Apr 22, 2023 · 4:32 PM UTC"
@Charles_BSwans,And Elon doesn’t know shit about it either. He hires others to do the works he dreams up. He has $ and that is all,"Apr 22, 2023 · 4:05 PM UTC"
@PancakesNow,"Look I think Elon sucks but comments like this are ignorant. SpaceX predicted a 50/50 chance of explosion. They were just hoping to get off the launch pad, the fact that it basically reached space IS a huge success for them, and that’s why they cheered","Apr 22, 2023 · 3:58 PM UTC"
@SkubyruDragon,"Eh I couldn’t give any less of a fuck abt Elon getting dunked on… but Elon didn’t build the rocket, SpaceX did, a company which he founded yea, but I doubt he does much of the actual hard work in the company","Apr 22, 2023 · 3:34 PM UTC"
